CLASS;KSCHL
101;Obchodní zboží
102;Služby
10201;Služby nákup
1020101;Neoceněný materiál
1020102;Kancelářské potřeby
1020103;Kancelářské potřebyv
1020104;Papír
1020105;Tonery a PC
1020106;Reklamní před. tašky
1020107;Pracovní oblečení
1020108;Spotřeba mat. údržba
1020109;Autopotřeby doprava
1020110;Obaly - spotřeba
1020111;Hygienické potřeby
1020112;Nápoje, potraviny
10202;Služby prodej
1020201;Služby prodej
1020202;Služby přefakturace
103;Obaly
401;Baterie, svítilny a příslušentví
40101;Baterie, svítilny a příslušentví
4010101;Akumulátory
4010102;Baterie
4010103;Svítilny
4010104;Nabíječky
402;Domovní spínače a zásuvky
40201;ABB
4020101;Swing, SwingL
4020102;Classic
4020103;Tango
4020104;Element, Time
4020105;Alpha exclusive
4020106;Solo, Solo carat
4020107;Impuls
4020108;Vyšší krytí IP
4020109;Mechanismy, strojky
4020110;Reflex SI
4020111;Future linear
4020112;AudioWorld
4020113;Zoni
4020115;Neo, Neo Tech
4020116;Free@home
4020118;Busch-axcent
4020119;Decento
4020121;Levit
40202;Berker
4020202;BERKER OSTATNÍ
4020203;BERKER MODUL2
4020204;BERKER S.1
4020205;BERKER B.1
4020206;BERKER B.3
4020207;BERKER B.7 GLAS
4020208;BERKER PRISTROJE
4020209;BERKER Q.1/Q.3
4020210;BERKER K.1/K.5
4020211;BERKER ARSYS
4020213;BERKER S1930
4020214;BERKER TS
4020215;BERKER R.1/R.3
40203;Niko
4020301;ORIGINAL
4020302;INTENSE
4020303;PURE
4020304;NIKO ostatní
4020305;NIKOBUS
4020306;MYSTERIOUS
40204;Gira
4020401;STANDARD55
4020402;E2
4020403;EVENT
4020404;ESPIRIT
4020405;E22
4020406;GIRA Flaschenschalt.
4020407;SCOLOR
4020408;PROFIL55
4020409;GIRA ostatní
40207;Logus 90
4020701;Logus 90
40208;Legrand
4020801;Valena Life
4020802;Valena
4020803;Cariva
4020804;Ostatní
4020805;Galea Life
4020806;Céliane
4020807;Niloé
4020808;Plexo
4020809;Mosaic
4020810;Niloé Step
4020811;Suno
40209;Ostatní, 45x45
4020901;Ostatní, 45x45
40210;Schneider
4021001;UNICA CLASS
4021002;SEDNA Design/Element
4021003;SEDNA
4021004;CEDAR
4021005;UNICA TOP
4021006;UNICA PLUS
4021007;UNICA ALLEGRO
4021008;MERTEN
4021009;UNICA BASIC
4021010;UNICA strojky
4021011;Nová UNICA
4021012;UNICA QUADRO
4021013;ASFORA
4021014;UNICA COLORS
4021015;MUREVA STYL
4021016;ELSO
40211;Bticino
4021101;Axolute
4021102;Living.Light
4021103;Ostatní Bticino
4021104;Living Now
40212;-
4021201;-
40213;Vestavné a šňůrové
4021301;Vestavné a šňůrové
403;Hromosvody
40301;Hromosvody
4030101;Svorky
4030102;Podpěry vedení
4030103;Držáky, tyče, desky
4030104;Vodiče
4030105;Oddálený hromosvod
4030106;Příslušenství
404;Kabelový spojovací, izolační materiál
40401;Kabelový spojovací materiál
4040101;Kabelové konektory
4040102;Kabelová oka
4040103;Kabelové spojky
