MMSTA;MMSTB;VMSTA;VMSTB
Z0;KVE LEŽÁK VYPRODANÝ;ZA;KVE AKTIVNÍ
Z1;KVE LEŽÁK A;ZK;KVE KATALOG
Z2;KVE LEŽÁK B;ZN;KVE NELZE NAKOUPIT
Z3;KVE LEŽÁK C;ZU;KVE UKONČENA VÝROBA
Z4;KVE LEŽÁK D;ZX;KVE STATUS X
Z5;KVE DOPRODEJ;ZZ;KVE ZRUŠENO
ZA;KVE AKTIVNÍ ARTIKL;;
ZB;B2C NA OBJEDNÁVKU;;
ZC;KVE POBOČKOVĚ SPECIFICKÉ;;
ZJ;KVE SPECIFICKÉ NÁKUP;;
ZK;KVE KATALOG;;
ZM;PW SPORADICKE;;
ZN;KVE NELZE NAKUPOVAT;;
ZP;KVE AKTIVNÍ OBALY;;
ZS;KVE NOVĚ NASKLADNĚNO;;
ZU;KVE UKONČENA VÝROBA;;
ZX;KVE STATUS X;;
ZZ;KVE ZRUŠENO;;
